LandType,Price,Neighborhood,Building,Address,Sold Price,Sold Date,Beds,Bath,Living Sq Ft,Parking,Lanai,Pets,Floor,Year,List Date,Days,Condition,Tax,Maint. Fee,Elementary,Junior High,High,Flood Zone,View,Frontage,Flooring
FS,"$540,000 ",West Marina,Colony At The Penins,520 Lunalilo Home Road 6301,"$527,500 ",10/29/2014,1,1,904,2,82,Yes,3,2004,8/11/2014,79,Excellent,$127 ,$521 ,Koko Head,Niu Valley,Kaiser,Zone D,"Marina/Canal,Mountain",,"Ceramic Tile,Hardwood"
FS,"$665,000 ",West Marina,Kaimala Marina,444 Lunalilo Home Road 125,"$670,000 ",10/29/2014,3,2.1,"1,281",2,354,Yes,2,1972,9/16/2014,39,Excellent,$192 ,$600 ,Koko Head,Niu Valley,Kaiser,Zone AE,"Diamond Head,Marina/Canal,Mountain,Ocean,Sunset","Marina,Waterfront","Ceramic Tile,Laminate"
FS,"$711,000 ",West Marina,Colony At The Penins,520 Lunalilo Home Road 7427,"$720,000 ",10/23/2014,3,2,"1,457",2,0,Yes,4,2005,9/15/2014,38,Excellent,$194 ,$807 ,Koko Head,Niu Valley,Kaiser,Zone AE,"City,Mountain,Sunrise",Other,"Vinyl,W/W Carpet"
FS,"$500,000 ",West Marina,Lalea At Hawaii Kai ,7188 Hawaii Kai Drive 244,"$500,000 ",10/22/2014,2,1,850,2,0,Yes,2,1999,10/21/2014,0,Above Average,$109 ,$300 ,Kamiloiki,Niu Valley,Kaiser,Zone D,None,Other,Other
FS,"$415,000 ",West Marina,Lalea At Hawaii Kai ,7138 Hawaii Kai Drive 130,"$415,000 ",10/10/2014,1,1,751,2,0,No,2,1997,8/11/2014,45,Excellent,$98 ,$265 ,Hahaione,Niu Valley,Kaiser,Zone D,"Garden,Mountain,Sunset",Other,"Laminate,W/W Carpet"
FS,"$499,000 ",Hahaione-lower,Commodore,555 Hahaione Street 3H,"$475,000 ",10/9/2014,2,2,"1,490",2,77,Yes,3,1982,6/6/2014,129,Excellent,$137 ,"$1,006 ",,,,Zone D,"Marina/Canal,Mountain,Ocean",,"Ceramic Tile,W/W Carpet"
FS,"$698,000 ",West Marina,Moana Kai,7012 Hawaii Kai Drive 303,"$675,000 ",10/9/2014,3,2.1,"1,651",1,39,Yes,1,2005,6/27/2014,98,Excellent,$175 ,$423 ,Hahaione,Niu Valley,Kaiser,Zone D,Garden,,"Ceramic Tile,W/W Carpet"
FS,"$698,000 ",Hahaione-lower,Plaza Hawaii Kai,6770 Hawaii Kai Drive 509,"$655,000 ",10/8/2014,2,2,"1,402",2,241,Yes,5,1974,3/12/2014,203,Excellent,$155 ,$900 ,Hahaione,Niu Valley,Kaiser,Zone D,"Marina/Canal,Mountain,Ocean,Sunset",Other,"Laminate,Vinyl"
FS,"$735,000 ",West Marina,Mt Terrace,250 Kawaihae Street 15B,"$735,000 ",10/8/2014,2,2,"1,644",2,0,No,15,1974,8/21/2014,47,Excellent,$210 ,"$1,225 ",Hahaione,Niu Valley,Kaiser,Zone AE,"Coastline,Diamond Head,Garden,Marina/Canal,Mountain,Ocean",Other,"Ceramic Tile,W/W Carpet"
FS,"$595,000 ",West Marina,Kawaihae Crescent Ea,464 Kawaihae Street C,"$588,000 ",9/29/2014,3,2.1,"1,506",2,0,No,2,1973,8/2/2014,50,Excellent,$133 ,$560 ,Hahaione,Niu Valley,Kaiser,Zone D,"Garden,Ocean",,"Ceramic Tile,Hardwood,Laminate,W/W Carpet"
